id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
CD6VATS_60,"Coffret De 6 Verres À Thé Sylvana","Coffret De 6 Verres à Thé PASABAHCE Sylvana 
- Capacité: 11 ml 
 
- Idéal avec toutes les ambiances de table 
 
- Résiste a la chaleur de votre thé 
 
- Matière: Verre de qualité",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-1-19.png,https://cakado.com/produit/coffret-de-6-verres-a-the-sylvana/,"Service À Café","CAKADO",6TND,in stock,CD6VATS_60,,"https://cakado.com/wp-content/uploads/2021/07/Untitled-design-28.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,6TND,new,published,,,,,638,,
PGEA28CO_58,"Poêle Grill En Aluminium 28 Cm OLINA","Spécialement fabriquée à base d'aluminium, cette poêle est dotée d'un revetement intérieur en marbre antiadhesif empêchant vos différentes recettes de s'y accrocher, ainsi que d’une poignée solide en bakelite offrant une meilleure prise en main. 
Qu'il s'agisse de sauter des pâtes, faire des omelettes ou réaliser des fritures, cet ustensile se prête parfaitement  au jeu, et vous garantit un résultat de qualité.",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-27.png,https://cakado.com/produit/poele-grill-en-aluminium-28-cm-olina/,"Poêle Sauteuse","CAKADO",38TND,in stock,PGEA28CO_58,,"https://cakado.com/wp-content/uploads/2021/07/Untitled-design-1-19.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,38TND,new,published,,,,,638,,
WP30CG7CG_44,"Winox Poêle Ø30 Cm Gamme GRANITE - 7 Couches - Gris","Structure en fonte d'aluminium avec revêtement anti-adhésif 
  Nettoyage facile grâce à sa surface anti-adhésive. 
  Compatible lave-vaisselle 
  Cuisson tous feux dont induction : Gaz /électrique/vitrocéramique",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-25.png,https://cakado.com/produit/winox-poele-o30-cm-gamme-granite-7-couches-gris/,"Poêle Sauteuse","CAKADO",32TND,in stock,WP30CG7CG_44,,"https://cakado.com/wp-content/uploads/2021/07/Untitled-design-1-18.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,32TND,new,published,,,,,638,,
WPD30CDRE7C_36,"Winox Poêle De 30 Cm Gamme DIAMOND Résistance Extrême 7 Couches","Structure en fonte d'aluminium avec revêtement anti-adhésif 
  Cuisine saine, parfaite antiadhésive et nettoyage facile jour après jour. 
  Répartition parfaite de la chaleur 
  Renforcée avec des particules minérales 
  Cuisson tous feux dont induction 
  Compatible lave-vaisselle 
  Un assortiment riche 
  Dure longtemps",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-1-18.png,https://cakado.com/produit/winox-poele-de-30-cm-gamme-diamond-resistance-extreme-7-couches-2/,"Poêle Sauteuse","CAKADO",34TND,in stock,WPD30CDRE7C_36,,"https://cakado.com/wp-content/uploads/2021/07/Untitled-design-26.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,34TND,new,published,,,,,638,,
WC26CSGSR7C_40,"Winox Crêpière De 26 Cm Série GRANITE Super Résistante 7 Couches","Spécialement conçu pour les repas copieux et la cuisine sans éclaboussures. 
  Poignée robuste au toucher doux pour une manipulation facile et confortable. 
  Revêtement anti-adhésif. 
  Compatible avec tous les feux, y compris l'induction. 
  En aluminium.",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-25.png,https://cakado.com/produit/winox-crepiere-de-26-cm-serie-granite-super-resistante-7-couches/,"Poêle Sauteuse","CAKADO",22.9TND,in stock,WC26CSGSR7C_40,,"https://cakado.com/wp-content/uploads/2021/07/Untitled-design-1-18.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,22.9TND,new,published,,,,,638,,
ICBDCICKS19_71,"Ice Cream Balance De Cuisine Ice Cream KS19","Lot De 3 Bols Alimentaires en Verre avec Couvercle 
Ce pack contient:  Boîte Ronde 20,5 cm + Boîte Ronde 17 cm + Boîte Ronde 14 cm 
Verre trempé résistant aux chocs 
Résistant aux chocs thermiques 
Résistant aux lavages en lave-vaisselle 
Adapté à l‘utilisation au micro-ondes 
Adapté à l‘utilisation au congélateur 
Verre hygiénique non poreux 
Verre sûr non coupant 
100% Fabriqué en France",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-24.png,https://cakado.com/produit/ice-cream-balance-de-cuisine-ice-cream-ks19/,"Boîte De Conservation","CAKADO",80TND,in stock,ICBDCICKS19_71,,"https://cakado.com/wp-content/uploads/2021/07/Untitled-design-1-17.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,80TND,new,published,,,,,638,,
BMH33CS_29,"Bonboniere Menphis H33Cm Cok Spain","Bombonière Avec Couvercle Produit En Verre, Matériau Avec Haute Luminosité Et Qualité. Idéal pour une utilisation quotidienne et servir des invités lors d'occasions spéciales, ajoutant du style et de l'élégance à la composition de votre table 
Marque : COK 
Poids : H33Cm 
Pays de fabrication : Spain",https://cakado.com/wp-content/uploads/2021/07/1-41.png,https://cakado.com/produit/bonboniere-menphis-h33cm-cok-spain/,"divers","COK",28.5TND,in stock,BMH33CS_29,,"https://cakado.com/wp-content/uploads/2021/07/1-42.png,https://cakado.com/wp-content/uploads/2021/07/1-43.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,28.5TND,new,published,,,,,638,,
WP20SGSR7CG_48,"Winox Poêle Ø20 Cm Série GRANITE Super Résistante - 7 Couches - Gris","Structure en fonte d'aluminium avec revêtement anti-adhésif, Nettoyage facile grâce à sa surface anti-adhésive.Compatible lave-vaisselle, Cuisson tous feux dont induction : Gaz /électrique/vitrocéramique.",https://cakado.com/wp-content/uploads/2021/07/1-58.png,https://cakado.com/produit/winox-poele-o20-cm-serie-granite-super-resistante-7-couches-gris/,"Poêle Sauteuse","Winox",20.9TND,in stock,WP20SGSR7CG_48,,"https://cakado.com/wp-content/uploads/2021/07/1-57.png,https://cakado.com/wp-content/uploads/2021/07/1-56.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20.9TND,new,published,,,,,638,,
SACT31PM3_17,"Service À Café Turc 31 Pièces M3","Composé de 6 tasses en porcelaine encastrées dans des sous-coupes en bronze, ce service de par sa beauté, saura apporter un peu plus de décoration à votre table. Assorti de 6 sous-tasses, de 6 sous-coupes, de 6 couvercles, de 6 cuillères et d'un support, il vous permet de déguster de nombreuses boissons telles que du café.",https://cakado.com/wp-content/uploads/2021/07/1-51.png,https://cakado.com/produit/service-a-cafe-turc-31-pieces-m3/,"Service À Café","Turc",154TND,in stock,SACT31PM3_17,,"https://cakado.com/wp-content/uploads/2021/07/1-52.png,https://cakado.com/wp-content/uploads/2021/07/1-53.png,https://cakado.com/wp-content/uploads/2021/07/1-54.png,https://cakado.com/wp-content/uploads/2021/07/1-55.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,154TND,new,published,,,,,638,,
WC26CGDRE7C_38,"Winox Crêpière De 26 Cm Gamme DIAMOND - Résistance Extrême - 7 Couches","Structure en fonte d'aluminium avec revêtement anti-adhésif, Cuisine saine, parfaite antiadhésive et nettoyage facile jour après jour. Répartition parfaite de la chaleur , Renforcée avec des particules minérales, Cuisson tous feux dont induction, Compatible lave-vaisselle, Un assortiment riche, Dure longtemps",https://cakado.com/wp-content/uploads/2021/07/1-48.png,https://cakado.com/produit/winox-crepiere-de-26-cm-gamme-diamond-resistance-extreme-7-couches/,"Poêle Sauteuse","Winox",21TND,in stock,WC26CGDRE7C_38,,"https://cakado.com/wp-content/uploads/2021/07/1-49.png,https://cakado.com/wp-content/uploads/2021/07/1-50.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,21TND,new,published,,,,,638,,
